*ERROR* 	2014/06/28 - 10:55:06: 201720
*ERROR* 	2014/06/28 - 10:55:06: 0
*ERROR* 	2014/06/28 - 11:10:41: 4
*ERROR* 	2014/06/28 - 18:20:15: 3
*ERROR* 	2014/06/30 - 12:34:19: 3
*ERROR* 	2014/06/30 - 17:00:20: 4
*ERROR* 	2014/06/30 - 17:21:38: 4
*ERROR* 	2014/06/30 - 18:23:47: 3
*ERROR* 	2014/06/30 - 18:23:59: 3
*ERROR* 	2014/07/01 - 10:21:03: 201547
*ERROR* 	2014/07/01 - 10:21:03: 0
*ERROR* 	2014/07/01 - 10:21:13: 3814
*ERROR* 	2014/07/01 - 10:21:13: 0
*ERROR* 	2014/07/01 - 10:21:22: 201599
*ERROR* 	2014/07/01 - 10:21:22: 0
*ERROR* 	2014/07/01 - 10:21:31: 4984
*ERROR* 	2014/07/01 - 10:21:31: 0
*ERROR* 	2014/07/01 - 10:21:41: 203515
*ERROR* 	2014/07/01 - 10:21:41: 0
*ERROR* 	2014/07/01 - 10:21:49: 4971
*ERROR* 	2014/07/01 - 10:21:49: 0
*ERROR* 	2014/07/01 - 10:21:58: 201586
*ERROR* 	2014/07/01 - 10:21:58: 0
*ERROR* 	2014/07/01 - 10:22:07: 3516
*ERROR* 	2014/07/01 - 10:22:07: 0
*ERROR* 	2014/07/01 - 10:22:16: 3517
*ERROR* 	2014/07/01 - 10:22:16: 0
*ERROR* 	2014/07/01 - 10:22:26: 201296
*ERROR* 	2014/07/01 - 10:22:26: 0
*ERROR* 	2014/07/01 - 14:45:31: 4
*ERROR* 	2014/07/01 - 14:46:58: 4
*ERROR* 	2014/07/01 - 18:31:49: 3
*ERROR* 	2014/07/01 - 18:47:09: 3
*ERROR* 	2014/07/01 - 18:47:28: 5
*ERROR* 	2014/07/01 - 18:49:12: 6
*ERROR* 	2014/07/02 - 10:13:31: 5
*ERROR* 	2014/07/02 - 10:13:42: 5
*ERROR* 	2014/07/02 - 10:13:49: 5
*ERROR* 	2014/07/02 - 10:15:06: 5
*ERROR* 	2014/07/02 - 10:16:48: 5
*ERROR* 	2014/07/02 - 10:18:02: 6
*ERROR* 	2014/07/02 - 10:20:00: 23
*ERROR* 	2014/07/02 - 10:20:05: 23
*ERROR* 	2014/07/02 - 10:20:14: 23
*ERROR* 	2014/07/02 - 10:20:33: 23
*ERROR* 	2014/07/02 - 10:20:36: 23
*ERROR* 	2014/07/02 - 10:20:44: 23
*ERROR* 	2014/07/02 - 10:21:08: 23
*ERROR* 	2014/07/02 - 10:24:43: 23
*ERROR* 	2014/07/02 - 10:24:48: 23
*ERROR* 	2014/07/02 - 10:24:57: 23
*ERROR* 	2014/07/02 - 14:11:48: 3
*ERROR* 	2014/07/03 - 10:34:13: 3
*ERROR* 	2014/07/03 - 12:28:43: 6
*ERROR* 	2014/07/03 - 13:25:09: 6
*ERROR* 	2014/07/03 - 13:33:31: 6
*ERROR* 	2014/07/03 - 13:51:03: 5
